student_id,cohort,program,gender,region,guardian,has_internet,course_id,course,semester,enrollment_date,study_hours,attendance_pct,midterm_score,final_score,project_score,final_grade,passed
S0001,2023,Information Technology,F,South,Father,True,C01,Python Programming,Fall 2023,2023-09-04,10.8,88.6,46.1,54.4,57.8,D,True
S0001,2023,Information Technology,F,South,Father,True,C02,Statistics,Spring 2024,2024-01-15,16.1,71.5,49.9,64.9,67.0,C,True
S0001,2023,Information Technology,F,South,Father,True,C03,Data Structures,Fall 2023,2023-09-04,23.6,71.5,57.3,64.1,83.0,C,True
S0001,2023,Information Technology,F,South,Father,True,C04,Linear Algebra,Spring 2024,2024-01-15,4.7,78.3,75.6,59.5,64.3,C,True
S0001,2023,Information Technology,F,South,Father,True,C05,Machine Learning,Fall 2023,2023-09-04,16.2,63.2,53.6,59.4,57.0,C,True
S0001,2023,Information Technology,F,South,Father,True,C06,Databases,Spring 2024,2024-01-15,20.7,83.2,65.2,76.8,66.4,B,True
S0002,2023,Data Science,M,West,Mother,True,C01,Python Programming,Fall 2023,2023-09-04,17.4,67.0,87.8,54.7,61.2,C,True
S0002,2023,Data Science,M,West,Mother,True,C02,Statistics,Spring 2024,2024-01-15,8.2,91.8,62.3,44.9,78.1,C,True
S0002,2023,Data Science,M,West,Mother,True,C03,Data Structures,Fall 2023,2023-09-04,30.4,84.9,68.6,94.7,71.8,B,True
S0002,2023,Data Science,M,West,Mother,True,C04,Linear Algebra,Spring 2024,2024-01-15,22.1,82.1,65.8,55.8,70.0,C,True
S0002,2023,Data Science,M,West,Mother,True,C05,Machine Learning,Fall 2023,2023-09-04,7.7,83.5,30.4,61.4,61.4,D,True
S0002,2023,Data Science,M,West,Mother,True,C06,Databases,Spring 2024,2024-01-15,22.6,69.0,64.6,74.9,64.2,C,True
S0003,2022,Engineering,M,Central,Father,False,C01,Python Programming,Fall 2022,2022-09-05,20.1,88.8,66.3,85.8,52.7,B,True
S0003,2022,Engineering,M,Central,Father,False,C02,Statistics,Spring 2023,2023-01-16,22.6,82.5,59.1,43.5,68.5,D,True
S0003,2022,Engineering,M,Central,Father,False,C03,Data Structures,Fall 2022,2022-09-05,38.0,80.5,69.1,61.2,45.5,C,True
S0003,2022,Engineering,M,Central,Father,False,C04,Linear Algebra,Spring 2023,2023-01-16,7.9,100.0,60.2,59.2,55.1,C,True
S0003,2022,Engineering,M,Central,Father,False,C05,Machine Learning,Fall 2022,2022-09-05,17.8,83.0,54.2,51.7,45.9,D,True
S0003,2022,Engineering,M,Central,Father,False,C06,Databases,Spring 2023,2023-01-16,18.4,55.7,50.8,52.1,38.5,D,True
S0004,2023,Information Technology,F,South,Father,True,C01,Python Programming,Fall 2023,2023-09-04,20.7,57.7,59.3,72.5,73.3,C,True
S0004,2023,Information Technology,F,South,Father,True,C02,Statistics,Spring 2024,2024-01-15,13.6,82.0,62.4,67.6,65.5,C,True
S0004,2023,Information Technology,F,South,Father,True,C03,Data Structures,Fall 2023,2023-09-04,23.5,88.1,54.6,40.6,81.4,C,True
S0004,2023,Information Technology,F,South,Father,True,C04,Linear Algebra,Spring 2024,2024-01-15,13.0,86.6,57.5,52.1,78.1,C,True
S0004,2023,Information Technology,F,South,Father,True,C05,Machine Learning,Fall 2023,2023-09-04,19.5,80.9,67.6,74.8,67.3,B,True
S0004,2023,Information Technology,F,South,Father,True,C06,Databases,Spring 2024,2024-01-15,18.4,76.6,63.0,71.4,70.6,C,True
S0005,2024,Computer Science,Other,North,Mother,True,C01,Python Programming,Fall 2024,2024-09-02,18.5,74.6,64.4,93.1,61.8,B,True
S0005,2024,Computer Science,Other,North,Mother,True,C02,Statistics,Spring 2025,2025-01-13,18.7,100.0,62.7,71.9,59.1,C,True
S0005,2024,Computer Science,Other,North,Mother,True,C03,Data Structures,Fall 2024,2024-09-02,23.9,79.8,79.8,65.2,64.7,C,True
S0005,2024,Computer Science,Other,North,Mother,True,C04,Linear Algebra,Spring 2025,2025-01-13,13.0,64.6,47.1,70.0,62.4,C,True
S0005,2024,Computer Science,Other,North,Mother,True,C05,Machine Learning,Fall 2024,2024-09-02,23.1,62.3,48.1,65.7,73.9,C,True
S0005,2024,Computer Science,Other,North,Mother,True,C06,Databases,Spring 2025,2025-01-13,22.7,63.8,54.9,49.4,80.9,C,True
S0006,2022,Engineering,M,Central,Father,True,C01,Python Programming,Fall 2022,2022-09-05,26.7,100.0,48.1,60.9,61.4,C,True
S0006,2022,Engineering,M,Central,Father,True,C02,Statistics,Spring 2023,2023-01-16,15.9,56.8,60.7,56.8,70.4,C,True
S0006,2022,Engineering,M,Central,Father,True,C03,Data Structures,Fall 2022,2022-09-05,15.4,100.0,68.0,38.4,55.5,D,True
S0006,2022,Engineering,M,Central,Father,True,C04,Linear Algebra,Spring 2023,2023-01-16,17.1,68.0,83.5,66.8,73.1,B,True
S0006,2022,Engineering,M,Central,Father,True,C05,Machine Learning,Fall 2022,2022-09-05,18.3,77.6,39.3,59.1,66.2,D,True
S0006,2022,Engineering,M,Central,Father,True,C06,Databases,Spring 2023,2023-01-16,14.2,72.3,60.4,66.7,76.1,C,True
S0007,2022,Information Technology,F,North,Other,False,C01,Python Programming,Fall 2022,2022-09-05,21.1,84.2,51.5,68.7,69.3,C,True
S0007,2022,Information Technology,F,North,Other,False,C02,Statistics,Spring 2023,2023-01-16,11.9,75.2,52.4,49.0,51.4,D,True
S0007,2022,Information Technology,F,North,Other,False,C03,Data Structures,Fall 2022,2022-09-05,12.6,76.3,43.1,35.6,60.4,F,False
S0007,2022,Information Technology,F,North,Other,False,C04,Linear Algebra,Spring 2023,2023-01-16,33.3,79.2,65.2,48.9,48.9,D,True
S0007,2022,Information Technology,F,North,Other,False,C05,Machine Learning,Fall 2022,2022-09-05,10.7,74.4,50.6,36.9,54.6,D,True
S0007,2022,Information Technology,F,North,Other,False,C06,Databases,Spring 2023,2023-01-16,8.2,,59.8,42.3,41.4,D,True
S0008,2024,Information Technology,M,East,Father,True,C01,Python Programming,Fall 2024,2024-09-02,26.2,59.5,58.3,71.2,42.7,C,True
S0008,2024,Information Technology,M,East,Father,True,C02,Statistics,Spring 2025,2025-01-13,20.3,78.7,74.5,69.8,41.6,C,True
S0008,2024,Information Technology,M,East,Father,True,C03,Data Structures,Fall 2024,2024-09-02,16.6,82.2,70.5,69.1,62.6,C,True
S0008,2024,Information Technology,M,East,Father,True,C04,Linear Algebra,Spring 2025,2025-01-13,20.9,58.6,65.2,71.2,66.8,C,True
S0008,2024,Information Technology,M,East,Father,True,C05,Machine Learning,Fall 2024,2024-09-02,31.2,66.8,38.5,83.6,67.5,C,True
S0008,2024,Information Technology,M,East,Father,True,C06,Databases,Spring 2025,2025-01-13,21.2,80.4,70.4,94.9,75.3,B,True
S0009,2023,Computer Science,F,South,Mother,False,C01,Python Programming,Fall 2023,2023-09-04,26.0,93.0,56.9,80.7,71.7,B,True
S0009,2023,Computer Science,F,South,Mother,False,C02,Statistics,Spring 2024,2024-01-15,14.4,70.4,48.1,40.5,32.7,F,False
S0009,2023,Computer Science,F,South,Mother,False,C03,Data Structures,Fall 2023,2023-09-04,14.5,100.0,60.1,77.0,63.0,C,True
S0009,2023,Computer Science,F,South,Mother,False,C04,Linear Algebra,Spring 2024,2024-01-15,27.6,75.8,65.0,67.0,59.8,C,True
S0009,2023,Computer Science,F,South,Mother,False,C05,Machine Learning,Fall 2023,2023-09-04,16.1,81.3,71.8,72.1,60.8,C,True
S0009,2023,Computer Science,F,South,Mother,False,C06,Databases,Spring 2024,2024-01-15,2.5,97.0,57.8,65.1,49.2,C,True
S0010,2024,Data Science,Other,North,Mother,True,C01,Python Programming,Fall 2024,2024-09-02,17.8,67.6,62.5,100.0,76.3,B,True
S0010,2024,Data Science,Other,North,Mother,True,C02,Statistics,Spring 2025,2025-01-13,28.4,72.1,40.9,66.0,78.0,C,True
S0010,2024,Data Science,Other,North,Mother,True,C03,Data Structures,Fall 2024,2024-09-02,13.2,97.5,75.0,73.7,73.3,B,True
S0010,2024,Data Science,Other,North,Mother,True,C04,Linear Algebra,Spring 2025,2025-01-13,9.7,42.2,55.8,56.0,78.6,C,True
S0010,2024,Data Science,Other,North,Mother,True,C05,Machine Learning,Fall 2024,2024-09-02,11.0,69.7,65.6,93.2,81.5,B,True
S0010,2024,Data Science,Other,North,Mother,True,C06,Databases,Spring 2025,2025-01-13,11.8,86.8,50.3,58.3,65.7,C,True
S0011,2023,Data Science,M,West,Mother,False,C01,Python Programming,Fall 2023,2023-09-04,2.0,82.6,45.3,49.5,58.3,D,True
S0011,2023,Data Science,M,West,Mother,False,C02,Statistics,Spring 2024,2024-01-15,7.3,67.2,60.4,40.4,44.0,D,True
S0011,2023,Data Science,M,West,Mother,False,C03,Data Structures,Fall 2023,2023-09-04,17.7,45.6,59.5,27.7,65.0,D,True
S0011,2023,Data Science,M,West,Mother,False,C04,Linear Algebra,Spring 2024,2024-01-15,14.9,72.3,47.8,62.8,57.0,C,True
S0011,2023,Data Science,M,West,Mother,False,C05,Machine Learning,Fall 2023,2023-09-04,13.1,62.0,33.2,55.5,57.6,D,True
S0011,2023,Data Science,M,West,Mother,False,C06,Databases,Spring 2024,2024-01-15,11.7,98.6,39.4,37.8,72.0,D,True
S0012,2024,Engineering,M,North,Mother,False,C01,Python Programming,Fall 2024,2024-09-02,13.6,84.2,27.6,28.1,56.4,F,False
S0012,2024,Engineering,M,North,Mother,False,C02,Statistics,Spring 2025,2025-01-13,18.7,92.0,83.9,50.7,60.0,C,True
S0012,2024,Engineering,M,North,Mother,False,C03,Data Structures,Fall 2024,2024-09-02,25.2,59.7,55.3,52.9,51.7,D,True
S0012,2024,Engineering,M,North,Mother,False,C04,Linear Algebra,Spring 2025,2025-01-13,11.1,79.1,65.7,49.9,59.5,C,True
S0012,2024,Engineering,M,North,Mother,False,C05,Machine Learning,Fall 2024,2024-09-02,23.2,87.3,90.3,55.3,56.4,C,True
S0012,2024,Engineering,M,North,Mother,False,C06,Databases,Spring 2025,2025-01-13,14.3,69.0,59.2,40.0,55.2,D,True
S0013,2023,Data Science,F,West,Mother,False,C01,Python Programming,Fall 2023,2023-09-04,13.8,47.4,27.2,31.3,48.1,F,False
S0013,2023,Data Science,F,West,Mother,False,C02,Statistics,Spring 2024,2024-01-15,13.1,63.4,47.9,70.2,67.7,C,True
S0013,2023,Data Science,F,West,Mother,False,C03,Data Structures,Fall 2023,2023-09-04,15.0,79.9,64.1,43.5,61.8,D,True
S0013,2023,Data Science,F,West,Mother,False,C04,Linear Algebra,Spring 2024,2024-01-15,23.3,,79.6,47.0,65.1,C,True
S0013,2023,Data Science,F,West,Mother,False,C05,Machine Learning,Fall 2023,2023-09-04,17.2,76.6,67.3,76.1,61.8,C,True
S0013,2023,Data Science,F,West,Mother,False,C06,Databases,Spring 2024,2024-01-15,23.4,63.6,69.4,88.9,61.7,B,True
S0014,2022,Information Technology,M,West,Other,False,C01,Python Programming,Fall 2022,2022-09-05,26.6,83.3,61.2,75.0,65.4,C,True
S0014,2022,Information Technology,M,West,Other,False,C02,Statistics,Spring 2023,2023-01-16,28.7,80.4,69.1,57.2,54.9,C,True
S0014,2022,Information Technology,M,West,Other,False,C03,Data Structures,Fall 2022,2022-09-05,23.6,76.9,49.0,57.9,74.4,C,True
S0014,2022,Information Technology,M,West,Other,False,C04,Linear Algebra,Spring 2023,2023-01-16,16.5,,56.0,32.9,77.7,D,True
S0014,2022,Information Technology,M,West,Other,False,C05,Machine Learning,Fall 2022,2022-09-05,15.4,91.2,50.0,71.8,64.0,C,True
S0014,2022,Information Technology,M,West,Other,False,C06,Databases,Spring 2023,2023-01-16,16.8,90.7,46.4,33.7,64.9,D,True
S0015,2024,Data Science,F,North,Father,True,C01,Python Programming,Fall 2024,2024-09-02,20.9,70.2,72.3,63.1,63.6,C,True
S0015,2024,Data Science,F,North,Father,True,C02,Statistics,Spring 2025,2025-01-13,5.9,82.5,40.7,55.7,61.5,D,True
S0015,2024,Data Science,F,North,Father,True,C03,Data Structures,Fall 2024,2024-09-02,15.3,43.5,66.0,75.2,82.4,B,True
S0015,2024,Data Science,F,North,Father,True,C04,Linear Algebra,Spring 2025,2025-01-13,27.3,100.0,84.4,60.4,71.7,B,True
S0015,2024,Data Science,F,North,Father,True,C05,Machine Learning,Fall 2024,2024-09-02,21.3,100.0,76.7,90.6,70.4,B,True
S0015,2024,Data Science,F,North,Father,True,C06,Databases,Spring 2025,2025-01-13,12.3,60.5,73.6,75.9,57.1,B,True
S0016,2023,Computer Science,F,North,Father,False,C01,Python Programming,Fall 2023,2023-09-04,20.4,81.9,70.0,60.0,75.5,C,True
S0016,2023,Computer Science,F,North,Father,False,C02,Statistics,Spring 2024,2024-01-15,12.2,100.0,64.9,67.5,43.9,C,True
S0016,2023,Computer Science,F,North,Father,False,C03,Data Structures,Fall 2023,2023-09-04,20.0,46.3,63.3,43.9,75.5,C,True
S0016,2023,Computer Science,F,North,Father,False,C04,Linear Algebra,Spring 2024,2024-01-15,26.3,61.5,43.9,55.5,70.8,C,True
S0016,2023,Computer Science,F,North,Father,False,C05,Machine Learning,Fall 2023,2023-09-04,23.8,66.0,51.2,31.7,55.2,F,False
S0016,2023,Computer Science,F,North,Father,False,C06,Databases,Spring 2024,2024-01-15,12.6,99.9,51.1,48.2,75.4,C,True
S0017,2022,Data Science,F,West,Mother,True,C01,Python Programming,Fall 2022,2022-09-05,16.9,95.3,84.3,55.0,67.4,C,True
S0017,2022,Data Science,F,West,Mother,True,C02,Statistics,Spring 2023,2023-01-16,17.6,75.1,76.6,79.7,64.6,B,True
S0017,2022,Data Science,F,West,Mother,True,C03,Data Structures,Fall 2022,2022-09-05,13.9,83.8,62.5,48.7,57.7,C,True
S0017,2022,Data Science,F,West,Mother,True,C04,Linear Algebra,Spring 2023,2023-01-16,29.5,67.3,68.4,100.0,59.5,B,True
S0017,2022,Data Science,F,West,Mother,True,C05,Machine Learning,Fall 2022,2022-09-05,27.0,62.6,63.0,57.7,72.3,C,True
S0017,2022,Data Science,F,West,Mother,True,C06,Databases,Spring 2023,2023-01-16,21.1,59.9,52.5,57.0,54.3,D,True
S0018,2023,Computer Science,M,East,Sibling,True,C01,Python Programming,Fall 2023,2023-09-04,15.2,70.9,60.1,50.3,73.4,C,True
S0018,2023,Computer Science,M,East,Sibling,True,C02,Statistics,Spring 2024,2024-01-15,21.4,71.4,66.7,85.2,72.7,B,True
S0018,2023,Computer Science,M,East,Sibling,True,C03,Data Structures,Fall 2023,2023-09-04,26.6,71.7,75.9,56.9,53.7,C,True
S0018,2023,Computer Science,M,East,Sibling,True,C04,Linear Algebra,Spring 2024,2024-01-15,16.3,94.3,42.4,46.9,56.4,D,True
S0018,2023,Computer Science,M,East,Sibling,True,C05,Machine Learning,Fall 2023,2023-09-04,27.8,89.3,73.7,72.8,72.7,B,True
S0018,2023,Computer Science,M,East,Sibling,True,C06,Databases,Spring 2024,2024-01-15,10.2,87.5,76.4,62.8,63.8,C,True
S0019,2023,Information Technology,F,North,Father,False,C01,Python Programming,Fall 2023,2023-09-04,20.1,73.3,53.7,64.8,58.6,C,True
S0019,2023,Information Technology,F,North,Father,False,C02,Statistics,Spring 2024,2024-01-15,18.5,76.7,56.4,69.2,48.2,C,True
S0019,2023,Information Technology,F,North,Father,False,C03,Data Structures,Fall 2023,2023-09-04,5.9,77.7,43.9,42.1,47.8,F,False
S0019,2023,Information Technology,F,North,Father,False,C04,Linear Algebra,Spring 2024,2024-01-15,9.1,57.5,32.2,69.4,52.8,D,True
S0019,2023,Information Technology,F,North,Father,False,C05,Machine Learning,Fall 2023,2023-09-04,11.4,71.5,80.8,68.8,49.3,C,True
S0019,2023,Information Technology,F,North,Father,False,C06,Databases,Spring 2024,2024-01-15,5.6,90.3,67.2,64.2,52.1,C,True
S0020,2022,Data Science,M,Central,Mother,False,C01,Python Programming,Fall 2022,2022-09-05,10.6,80.9,51.2,31.1,61.8,F,False
S0020,2022,Data Science,M,Central,Mother,False,C02,Statistics,Spring 2023,2023-01-16,22.5,80.0,68.3,72.9,55.9,C,True
S0020,2022,Data Science,M,Central,Mother,False,C03,Data Structures,Fall 2022,2022-09-05,24.2,66.9,48.9,33.6,80.6,D,True
S0020,2022,Data Science,M,Central,Mother,False,C04,Linear Algebra,Spring 2023,2023-01-16,24.8,83.7,57.8,60.5,58.9,C,True
S0020,2022,Data Science,M,Central,Mother,False,C05,Machine Learning,Fall 2022,2022-09-05,14.8,82.0,45.3,77.5,54.8,C,True
S0020,2022,Data Science,M,Central,Mother,False,C06,Databases,Spring 2023,2023-01-16,20.7,76.4,58.2,58.1,56.7,C,True
S0021,2024,Information Technology,M,South,Sibling,True,C01,Python Programming,Fall 2024,2024-09-02,17.2,63.2,51.2,72.6,71.6,C,True
S0021,2024,Information Technology,M,South,Sibling,True,C02,Statistics,Spring 2025,2025-01-13,22.0,65.3,56.2,74.1,74.5,C,True
S0021,2024,Information Technology,M,South,Sibling,True,C03,Data Structures,Fall 2024,2024-09-02,18.8,100.0,42.2,69.4,51.4,C,True
S0021,2024,Information Technology,M,South,Sibling,True,C04,Linear Algebra,Spring 2025,2025-01-13,15.1,67.0,57.6,49.1,49.8,D,True
S0021,2024,Information Technology,M,South,Sibling,True,C05,Machine Learning,Fall 2024,2024-09-02,23.9,51.9,60.7,68.4,55.8,C,True
S0021,2024,Information Technology,M,South,Sibling,True,C06,Databases,Spring 2025,2025-01-13,30.9,100.0,48.9,100.0,58.2,B,True
S0022,2022,Data Science,F,North,Mother,True,C01,Python Programming,Fall 2022,2022-09-05,11.0,82.4,61.1,68.1,69.1,C,True
S0022,2022,Data Science,F,North,Mother,True,C02,Statistics,Spring 2023,2023-01-16,16.8,91.4,72.9,75.8,61.1,B,True
S0022,2022,Data Science,F,North,Mother,True,C03,Data Structures,Fall 2022,2022-09-05,13.7,86.8,75.8,60.6,81.5,B,True
S0022,2022,Data Science,F,North,Mother,True,C04,Linear Algebra,Spring 2023,2023-01-16,12.2,98.6,65.3,66.0,63.6,C,True
S0022,2022,Data Science,F,North,Mother,True,C05,Machine Learning,Fall 2022,2022-09-05,22.4,63.2,98.7,48.1,56.2,C,True
S0022,2022,Data Science,F,North,Mother,True,C06,Databases,Spring 2023,2023-01-16,18.5,,42.7,55.5,57.3,D,True
S0023,2022,Engineering,F,Central,Other,True,C01,Python Programming,Fall 2022,2022-09-05,2.3,55.2,45.9,36.0,67.1,D,True
